element,sp_num,obs_wl_vac(A),unc_obs_wl,ritz_wl_vac(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Fe,23,8.273,0.010,8.273,0.003,,2.9E+12,C,471780,12560000,1s2.2s.2p,3P*,2,1s2.2p.4p,3D,3,,T4966,L4776,
Fe,24,8.2854,0.0010,8.2833,0.0005,,3.6E+11,D,391983,12464400,1s2.2p,2P*,1/2,1s2.4s,2S,1/2,,T2093,L11369,
Fe,23,8.289,0.010,8.289,0.003,,2.6E+12,D,379125,12443000,1s2.2s.2p,3P*,1,1s2.2p.4p,3D,2,,T5298,L4871,
Fe,23,8.305,0.010,8.303,0.003,,4.8E+12,D,0,12044000,1s2.2s2,1S,0,1s2.2s.4p,1P*,1,,T4966,L6738,
Fe,24,8.3160,0.0010,8.3164,0.0021,,7.07E+12,C+,520757,12545200,1s2.2p,2P*,3/2,1s2.4d,2D,5/2,,T2093,L11369,
Fe,23,8.317,0.010,8.317,0.003,,1.3E+12,D,0,12024000,1s2.2s2,1S,0,1s2.2s.4p,3P*,1,,T5298,L6738,
Fe,24,,,8.3205,0.0010,,1.18E+12,C,520757,12539200,1s2.2p,2P*,3/2,1s2.4d,2D,3/2,,T2093,,
Fe,24,8.3757,0.0010,8.3727,0.0005,,6.9E+11,D,520757,12464400,1s2.2p,2P*,3/2,1s2.4s,2S,1/2,,T2093,L11369,
Fe,21,8.521,0.010,8.521,0.004,,6.1E+11,E,73851,11810000,2s2.2p2,3P,1,2s2.2p.5d,1D*,2,,T3664,L4776,
Fe,21,8.521,0.010,8.521,0.004,,1.5E+12,D,73851,11810000,2s2.2p2,3P,1,2s2.2p.5d,3P*,1,,T3664,L4776,
Fe,23,8.529,0.010,8.529,0.004,,4.3E+12,D,348180,12073000,1s2.2s.2p,3P*,0,1s2.2s.4d,3D,1,,T4966,L4776,
Fe,23,8.550,0.010,8.550,0.004,,6E+12,C,379125,12075000,1s2.2s.2p,3P*,1,1s2.2s.4d,3D,2,,T4966,L6738,
Fe,23,,,8.5515,0.0010,,3.2E+12,D,379125,12073000,1s2.2s.2p,3P*,1,1s2.2s.4d,3D,1,,T4966,,
Fe,21,,,8.5524,0.0010,,2.8E+11,E,117354,11810000,2s2.2p2,3P,2,2s2.2p.5d,1D*,2,,T3664,,
Fe,21,,,8.5524,0.0010,,6.5E+11,E,117354,11810000,2s2.2p2,3P,2,2s2.2p.5d,3P*,1,,T3664,,
Fe,23,,,8.554,0.010,,4.7E+11,D,752410,12443000,1s2.2s.2p,1P*,1,1s2.2p.4p,3D,2,,T5298,L11926,
Fe,21,8.558,0.010,8.558,0.004,,2E+12,D,117354,11802000,2s2.2p2,3P,2,2s2.2p.5d,3D*,3,,T3664,L4776,
Fe,21,8.573,0.010,8.573,0.004,,2.1E+12,D,0,11665000,2s2.2p2,3P,0,2s2.2p.5d,3D*,1,,T5298,L6738,
Fe,23,8.616,0.010,8.614,0.004,,7.7E+12,C,471780,12081000,1s2.2s.2p,3P*,2,1s2.2s.4d,3D,3,,T4966,L6738,
Fe,23,,,8.6183,0.0010,,1.9E+12,D,471780,12075000,1s2.2s.2p,3P*,2,1s2.2s.4d,3D,2,,T4966,,
Fe,21,,,8.627,0.010,,3.2E+11,E,73851,11665000,2s2.2p2,3P,1,2s2.2p.5d,3D*,1,,T5298,L11926,
Fe,23,8.630,0.010,8.630,0.004,,4.4E+12,D,1027200,12615000,1s2.2p2,3P,1,1s2.2p.4d,3P*,1,,T3348,L4776,
Fe,21,8.643,0.010,8.643,0.004,,3.9E+12,D,244561,11814000,2s2.2p2,1D,2,2s2.2p.5d,1F*,3,,T3664,L4776,
Fe,23,8.643,0.010,8.643,0.004,,,,1027200,12597000,1s2.2p2,3P,1,1s2.2p.4d,1D*,2,,,L4776,
Fe,21,,,8.6465,0.0010,,4.4E+11,E,244561,11810000,2s2.2p2,1D,2,2s2.2p.5d,1D*,2,,T3664,,
Fe,21,,,8.6465,0.0010,,1.6E+11,E,244561,11810000,2s2.2p2,1D,2,2s2.2p.5d,3P*,1,,T3664,,
